Date,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2022-01-01,185.5307169342296,183.44845593063235,163.205884254473,149.133198082712,150.5565398476911,139.73278923539092,146.3110875864496,167.65965040517233,177.27995624712597,186.22596541572483,188.90148865658253,186.22109507683723,178.80998835120667,173.3327151802445,178.35583805319277,171.40705256087554,165.33006580843906,174.04441363781507,202.21416877197015,225.93844497726766,238.266698476485,238.7340973315199,230.251306266679,211.3697989120343
2022-01-02,172.44335104728992,155.20090939430645,141.01286566805382,136.5561377539181,141.60025080277498,140.542523937754,154.83171615538535,154.1158484725491,155.81070787772632,158.2611052904818,160.69090249905537,154.83366182506506,144.88106599519298,146.98910522705933,143.40846517761906,137.78837903016776,129.30707526987112,139.89050226400107,164.4407342773531,179.52955246473357,202.74648845929164,223.02722161533526,223.53071617483732,209.80770020535653
2022-01-03,177.01829276891468,169.38677698441148,155.29331607931078,142.626218751265,142.15910241580963,143.84910716366142,146.93702702042935,176.07899090394315,188.52462729437482,204.85383911009586,214.59527008931522,204.95836589445835,181.88352443334372,165.17185316741214,156.519864588239,146.83904149491838,154.1049229109753,152.34422616814282,167.94159132042725,186.74899974540963,197.44176025854864,211.5089351323306,197.89811355573997,172.5724580848484
2022-01-04,164.63757464554374,127.08423620367468,113.14755032185721,102.95080198928042,100.66118468259549,103.0781905086849,106.00615686999984,127.68016865534771,148.37504081721926,157.28659160741068,152.68212699054925,144.1695757443095,142.02977326313953,138.14806697570205,135.16661549732794,123.08950866572802,120.2187052655444,119.10596316949773,130.88465203117008,151.82812091811667,150.76513022178827,159.106807663101,161.91873531461917,137.41569578904392
2022-01-05,126.29109924707144,124.25067412209627,113.95677175961023,111.0996585553062,107.73291366462968,103.01678824785733,111.93722116084774,122.67317087570348,149.7440322277406,159.0301244952716,167.3379805134313,158.907597981484,152.5923303040465,150.57699281146378,152.76164442802482,154.03321102098585,147.05919968361175,160.72455156018196,195.27068435672288,215.04655266944428,201.1786790227526,195.14349355662793,176.6181146645456,171.0432305708774
2022-01-06,173.81863043473615,166.5835632064704,147.51195446136555,139.00900400541983,126.55388722473637,118.06799220783846,120.87981654468615,129.70712185267752,150.015121032749,166.33643952575818,172.78958342870615,164.25408156062522,158.42173630802702,156.07622427213113,151.09366540614445,148.82981108394608,150.92930051761488,157.86831807999593,179.65453713014662,193.4403932994124,186.37142121963302,185.3759558433033,180.9852980957547,173.14435756787748
2022-01-07,195.2495731763643,188.0639110985129,163.93615721155575,168.92901575663055,146.30911190215468,134.95211688929052,150.59187348644392,169.87604325448896,192.95633289012326,222.5800500439493,227.725869303153,206.23835126710827,189.53062270458855,186.41974869100542,183.68333691056102,187.0499525910416,183.7919694657724,202.77839607695878,238.85835275762037,276.86411744811625,268.9305076262597,260.73082248155555,238.85817800428737,218.2677868580216
2022-01-08,218.69044983387076,187.82393071835673,163.99275908022344,148.79921172534029,135.0851109781229,128.9773977676025,135.5274055991834,147.51431726924915,164.65720896871255,167.45077101624364,183.73340153807098,173.6409562848186,166.32367761790985,160.78546053199995,155.9352293256394,143.25150489540448,145.39008702147757,148.3859228732447,165.5534567664979,190.66187572507783,186.8442732641535,187.63452606005114,186.78147144688276,174.04041730724185
2022-01-09,169.44901927562324,157.11971227689236,142.31528212584521,129.60365069543934,124.06011608959787,122.37540490540138,121.09708240596889,127.9688127060196,147.60100769511124,153.88198920675453,159.2835624155315,147.76022692730095,139.95311426165364,138.83975556545224,139.16815649566706,128.3480346720897,116.00593237522232,126.24985463119029,147.3037001474173,174.0680347538935,181.73445747893982,200.6673578135618,205.40009629327227,195.79864699903456
2022-01-10,195.6483341932842,194.41873675694518,174.83492256976962,167.35787367427298,157.73678938902268,156.7212491745793,169.5668924541966,188.57515714628167,222.20353779090425,251.8013577137428,254.04637024515597,250.97201113210934,232.63280325330734,225.35865980320608,220.54846007518768,217.88501297578645,206.42831613818382,220.43070254597933,256.7132882060168,279.6754364544871,264.4769141028963,269.03163660109493,255.1235827013095,241.25644870843513
