Date,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2022-01-01,106.38795723800538,119.8371189380729,91.24182467292869,75.33321485776104,62.59258147279213,62.47100303141964,64.34961847571492,55.12398711726233,44.976235752834754,56.00484887091733,68.8831386553793,63.71934550367642,81.60083446276974,82.0979287350515,86.6203900017229,91.6421263892523,90.27956777294422,92.47794047284847,113.01012714027021,142.62212605150177,169.90926691216004,175.30896291836495,165.79999138212435,160.40288610029188
2022-01-02,148.88303382914037,135.75180493362132,114.01590247116039,102.19586088020851,91.72955388190994,91.88703583119685,99.7651282964485,119.98352843181384,136.82427155795986,146.14133234771234,152.8160241476947,154.2300466155694,151.31518086868846,151.46834546911288,151.35049118092735,144.81586617361572,148.57304958998483,159.9120115160831,176.54000939447735,203.46756261629824,208.04524532529496,207.48752347044484,196.01531470086326,180.21753455369785
2022-01-03,172.17105849675073,157.79112235407197,140.1957731826799,128.64201190275762,119.22426999250739,114.39877458646899,126.40453546309715,161.23698523028187,196.61030140470848,202.801934472669,201.7697897283235,191.87372428412746,183.93320291608094,176.87006736325515,165.12778382505581,162.77156739959952,154.72625153018825,164.10662602294028,187.57070439293776,203.43139343881677,209.5762163946897,208.22593975935393,200.26542586939405,178.73735810866907
2022-01-04,107.65817107294525,105.9883799290135,95.20587778894243,86.97986811134163,80.22827726645775,78.44721967900136,85.88726892481671,106.06279242582566,160.04745828251203,177.24046378621944,175.12632017038356,164.1974910441699,157.4295841364889,156.4426421126141,149.97769146460377,140.02470033481129,135.41374822284317,140.4426214808887,152.3085296180235,165.50706313011065,170.77310501840228,168.3054259281452,144.34878318131496,132.8769324623706
2022-01-05,127.96416691604267,124.76729771854806,109.82354539555743,99.1228966233414,90.9195355353064,90.55460464567052,98.54486464441267,120.67948197751342,165.32132786799713,177.88977996329993,180.08831781523898,170.10542778940544,160.78557073879162,157.48686291251616,154.15102307207147,141.9958100308422,144.89057157319462,153.9827122779628,174.9568322431994,192.91863409918204,209.96280955851157,208.4014074175405,199.5351418954514,187.48015063677258
2022-01-06,181.93057195176235,174.23714132533965,157.29524548875042,145.56140125342853,130.3730341737429,125.80925054535467,141.61368976891228,162.61353443857416,201.54322443611898,213.9386373047572,215.87511436471272,211.1623358510701,208.25512501014813,207.83730233240297,202.55483570279412,191.75034566954324,191.6132159056059,203.82883376855435,218.12338622198834,234.8316832034446,243.4342080646883,228.3695663823484,215.63925228650317,206.23760300954433
2022-01-07,199.96748712209936,193.7825096499458,178.99648712377183,172.54236642063032,152.90037817515426,149.4971029140155,158.54397959837397,186.92991952064557,221.13388762434914,230.15176239825675,216.7926582020518,207.08621818684196,197.5462667017102,188.25263835622573,184.22670816048884,180.74476746566734,183.43471582153728,195.78738442100706,225.8947665436716,276.45243951889955,293.6871395824345,286.1399875563239,252.51322994891623,230.2469788127577
2022-01-08,223.75057185472747,201.8284847078109,184.06514112224312,163.44250693522332,156.25212931090212,147.9447455401717,146.9419911156359,160.33993871080062,182.36581872054177,194.11589541853027,203.39653014626313,205.91890719336584,202.0239889850635,193.03549564081533,186.72013172337404,180.01903031365495,171.13099342361267,177.9075217064745,194.41800548123842,212.74488064649012,221.35991923192557,219.49586310277118,212.81230390399247,199.16511253850078
2022-01-09,172.4872538437627,167.25015537187875,147.61689287794206,129.93155779099095,122.10581120153095,111.9197860357823,119.5951208580334,127.5873047728071,150.48999198273154,171.5777126703195,179.9497749129734,177.05752734818324,167.47622544309493,157.37764953787058,156.99959023361603,150.79855871236288,139.66498639018394,147.4623839702117,166.47143175810822,183.92965847569144,192.618070680394,202.5742756235045,203.57654029178497,193.47885187791135
2022-01-10,167.48347410502964,150.50656622849039,128.32606827496147,118.81661136813656,116.01343877567109,116.75649969713763,133.35696272147453,183.41500430938666,215.4522867533281,226.73404366344118,225.8372542893598,221.8735795117323,209.87787817824506,202.97961360034412,202.18920254018875,194.33017982374074,192.91755964763388,204.4989449560268,228.27528251022588,242.00454814804658,260.30060105383177,259.88573333474375,240.53617913977126,215.6093716012454
2022-01-11,212.55593619070527,232.3982062168702,210.5271643338031,205.95776594393908,189.088872400723,190.21897658274293,207.74473516091876,225.3638659342153,266.93007885797874,281.1268939361818,269.9947324928083,249.3772740094917,248.23774373705962,241.29100385352427,235.14018790104592,229.8985886313719,231.35167276427694,240.1077824649477,267.08114655476106,279.53194040506884,293.4079475756846,280.2367540177037,258.8023890875727,240.76234070650838
2022-01-12,220.54110424341562,216.91303782358312,200.59625018863963,191.256868679932,185.61724159263798,183.97050372337324,194.13632048622955,218.0384022585336,248.74924573023154,261.08957546629847,254.09663006973787,243.01733328111635,236.91644300566549,233.38917181028313,233.6268941699132,229.4591507953698,233.19370141418864,242.4564092022042,262.03547446587265,278.2707190836115,282.5949690424784,275.70886812564777,265.7714001299749,254.19117780583534
2022-01-13,222.2388917849406,229.10297794119595,222.28803352856818,214.01054669796332,211.59985752617445,213.51594252135962,217.87203353736803,230.41118277768814,247.31919613996234,250.15852076810913,248.62507410407278,242.05506714289453,240.12012315207608,237.76246401190846,230.8837295984934,228.32181986652503,231.83563536961105,244.59347284934398,265.32284394355554,274.9583730920273,278.9144976947931,269.29991330271633,256.04852324163835,248.37222644850908
2022-01-14,224.19049976926775,221.48748907974056,207.83729190963646,195.36113132517258,188.86681335511614,189.28041820779447,195.67975214301796,215.41077475616888,232.7515506198664,238.43422359884207,239.64278692100152,233.6512922705832,228.8464378705172,223.14206357234485,221.4761086777949,221.49155019617606,223.41596717913202,231.89153312306274,245.8412738643732,264.9117316849167,263.65782937477155,259.29087985527747,249.68220300193417,238.42577960728127
2022-01-15,217.05441093497188,216.45440271221133,211.1530228473399,204.2502074139447,200.44787067811217,196.11332270938186,194.23400306060688,195.85572554257604,200.92128825090288,203.84110558109558,209.25845335073183,205.5363897279616,200.02407148729597,194.11689212196103,191.50906525535714,186.3166428753687,189.32257956343074,195.570879138659,214.1384765373836,230.3267876033011,239.25345375254537,229.7274375763759,226.613942950464,217.77511564285584
2022-01-16,214.57085806660513,206.34313693247933,191.05040225570036,188.55092598375947,182.79413433062243,176.92004769673858,178.25546545996693,179.06009723035078,187.34402076537447,185.39257483875207,196.47247834670074,200.2527281331603,200.4384431820309,197.45073481030158,198.3978805693406,195.43416300248975,189.55813451348442,196.30580486533376,220.71828689003107,244.83441303662553,250.13056030041466,249.11847290832287,239.86911177046036,225.8280684013576
2022-01-17,223.25055388503287,223.31008625440944,212.76921745397473,207.84977882387722,203.63621747021315,204.47339192158242,210.79298025642657,223.46468530949625,243.75023268811663,246.7064630258351,244.1266468809717,237.87570163574287,235.1488130677141,233.27273921991784,232.1289419080976,229.80761092311303,229.7976004879081,232.9250465836777,241.40767580464467,251.1630875398933,263.9644120207284,259.43827051358363,247.7377251696481,238.060606335762
2022-01-18,235.8145766212549,235.15868941687685,224.97291291603992,218.54749649778398,212.82121110935955,210.02014068211935,218.8173643581846,231.78119227859582,255.8151520469953,260.5406704460661,254.60700988630123,248.52190251031863,241.98323372421876,237.565067587729,235.14050131053875,232.33141339814335,232.44299557635836,240.40871060242202,254.4702210682213,268.18190298579833,276.48763239933845,276.17969657652566,264.9366497950234,251.2265891974993
2022-01-19,221.3362823182914,218.55311570464494,210.00791798129507,206.30001368392635,202.24315833620693,202.18803646716609,207.51764806267371,219.06626093063483,240.83810070932546,245.93170362622539,242.74121133255142,233.7934371855887,228.33401305201025,224.65105152744349,219.6987633422304,214.23210308684656,213.39515005727074,217.20652362574563,228.4483093288964,240.97028505202667,247.85830358602294,243.91024277552032,233.73061259865298,219.2170332332853
2022-01-20,194.31573127236123,187.70114231424358,183.0858058524109,170.31870249581206,165.44841475821744,158.22186062303467,162.69256129145955,183.6227650987751,212.7998510089557,222.18742947834068,222.8222381221769,208.89292172713022,201.916316176042,196.27133731606222,184.3574953098074,173.72252784413428,167.85284256861934,177.25156515024668,196.70968801234935,211.76272799543864,224.6187362509403,224.05192756503467,209.97012207376986,180.49242206530243
2022-01-21,171.32597670362483,168.19263006508245,165.847347932376,162.36087783709206,156.89973110179324,151.75803343408325,150.58994340258593,155.0848562576728,169.0870488232812,180.05262987125158,182.29535548097547,172.91833967116864,156.30482481774655,161.24322807046224,152.40390298798246,155.41692282052662,157.04704021043057,170.630721809686,189.4400404051368,203.89178324289568,213.57718998221915,209.0282248590866,201.21590475595113,172.89367523153155
2022-01-22,197.7699941742843,190.53292208321074,183.5750685299228,176.64376886684545,173.28001667032933,171.74113633333423,174.77689198130378,180.92500585309324,192.65682553355455,197.50148923614276,202.65403187834386,202.73972375572419,202.38928989749988,201.046735597191,198.81446608298077,197.04483474114434,194.1690200061173,197.5265846420051,208.83286021228406,221.13423664248916,228.68447848588679,228.4021602458668,224.0145867224066,214.14911687658847
2022-01-23,201.20188359524874,194.9773620537548,184.04961731424035,176.82208036055818,174.48378402941137,172.45083726228572,171.4434969034379,171.68579212094372,173.83041501708232,176.11903035933216,184.1929363576076,187.25491967823808,186.17958493243287,186.24970650045387,187.57233262110228,184.60320347206044,185.84036005381506,190.3914542943147,203.82013352638714,217.8710930107757,224.25046517921402,225.07240759146185,220.12839863273726,211.1893349518508
2022-01-24,212.0481944572243,206.26919041606084,193.43467521201282,185.70256210388368,178.3792038140881,178.49506630535836,188.72605857056288,208.85844844198746,234.39490293191918,240.0551706719836,240.46131595898052,236.5158970987732,232.31834780609,231.53588394774914,229.21976299404875,224.29132615352685,227.57893834483025,232.52679877943245,244.32906844588558,255.58753873469377,259.93772723358774,258.2311112413279,245.4242630200895,232.91754765652448
2022-01-25,213.7816606058027,211.2118552149537,202.180581638787,191.31344819357244,184.09000070526062,184.19318174285388,194.87152842622635,218.52715807142982,243.49220081955033,253.44720484265065,248.87182244094822,236.70095971498463,229.5691409303389,227.83859274516777,223.81904542104073,219.88485155197097,220.02244865537907,226.24649291452036,243.66915023784617,257.76995203159913,270.3112920034556,261.595105166047,244.40301600732383,230.15928125997445
2022-01-26,219.22520933303332,220.2860462008193,209.6955761850262,205.44252239992343,200.09973027174416,199.5479378605334,207.66655815556211,219.29080455960587,234.47033249649516,240.28998402651487,237.93230758352496,232.8730387619403,228.4511894048093,226.31659715799606,223.93148340405833,221.69194277884966,220.25510452374064,222.95586521714753,232.57777889990035,241.993105966111,243.1475846098683,241.272156091912,233.22901330274385,224.79999182711546
2022-01-27,227.03764342335046,231.20895071631762,225.81255364919298,222.35512115333736,215.46295831096586,214.65228952033974,219.57271392850186,224.95560566439363,236.69584738993237,240.97100686109184,239.5840197589009,236.44615846527037,231.99610842645302,230.5577333653307,228.78957998788962,226.10274988803474,222.8234419485371,224.1982534217734,232.95308265756333,237.38102943383723,240.56473247389414,239.48447609383453,234.21420632191766,226.3794234366061
2022-01-28,211.4855679747304,208.97131785473934,198.9891038677885,190.35440724046052,185.15721622238985,183.18585964632805,188.18490480042007,196.9157532295409,216.6891102056001,223.22626085390834,224.24204517367988,216.9594263761483,208.13733176212378,202.92741094622482,198.6644914570207,194.27923092935464,194.60677387952302,201.85350853858574,217.12024421651262,230.74970309928145,241.9371253654296,241.1496947318586,233.77732153597165,220.02779350985125
2022-01-29,220.78369661762594,223.51713858625882,214.689988011199,209.4863088171567,206.32763616541948,206.26140165373354,208.0489322813171,215.77475370212917,229.8635926022205,235.93435874203115,233.07523515831772,227.6084940512133,217.14324258164555,213.31165538111114,211.5919832143915,206.03760166907972,207.50700191733964,213.37909167470133,228.57597944178644,244.48173515929324,257.15969140261006,252.45028044527402,243.71429084872608,235.05671501074534
2022-01-30,234.65351051913436,229.93137847742082,219.7765068747011,212.5425573162725,207.64715959409233,205.05667325669242,205.59480037813532,207.736074703175,213.60810465961202,212.52940284258648,218.8778136102263,220.11568825430027,213.7069968173382,214.60917898029692,213.40470788310327,212.80355622248825,205.06072373123266,208.21277424673406,220.4111544683867,238.9097370238145,253.11580839834934,257.47845323575257,251.866023854552,245.2680872257203
2022-01-31,240.09986157269935,227.44303289279497,214.4167946389506,204.2501182056168,201.58174572587842,197.00871989699584,201.5419010609596,221.5955294575044,240.40692029946473,243.9776329584411,243.79038391528684,237.33882889580275,226.15175527684835,218.2336153249556,214.14348609370242,204.1553539745835,202.20534687600568,202.46818276421314,215.822229437132,228.8023188431548,244.13503604351624,247.19111269226812,243.2154741094493,223.0424302056982
2022-02-01,199.93603316713927,183.56604316903667,163.25480861896503,156.43516963896454,147.86918295930423,152.18433309645735,170.4845654013389,194.53641928338078,233.89147740247327,242.4925776221205,242.5221622424565,235.52176249307414,227.28802680336312,221.75453076355836,220.97130459039238,204.96890550589578,199.98941157085127,208.98477757788012,229.0274722368691,245.37947834490257,255.40373234042013,257.7213532129112,243.68231493327056,225.00786755666905
2022-02-02,208.55408534582887,207.39872541280445,200.702071025876,200.89286720362958,202.72883240517965,201.983342257461,205.75466311974384,221.17478020721498,238.85523728099093,241.94677471750094,241.55791837485066,235.61544847051437,229.5062921827296,228.0136406319818,226.12545657906452,222.8256886735911,224.4023697072757,226.07949180663334,236.76169658304957,245.530263812471,258.8992612698782,258.7221239611355,250.93849063419484,240.7109687197409
2022-02-03,228.4688338859685,229.18906987333074,216.8541403243767,208.9044671676054,202.38758591798938,200.58052221457916,205.17991912101238,218.6253075792873,237.3969229249813,239.94996919934516,240.1026564353692,235.86231505083046,232.88866032278602,229.4759949498904,225.3117694037987,219.47980388543172,215.64097587145324,217.70405781170012,230.61649622303597,243.45861818353313,255.47228188940744,252.82751837494533,243.1646476752317,231.63805460386925
2022-02-04,197.27601664592765,194.35665431536287,187.39188985371248,181.5221091063541,177.49593424564455,177.34724335473612,180.7878047168889,192.87856879443166,212.7329414162128,218.53194605241134,223.562848460162,219.31209721473445,213.88061500711555,211.36407954697387,203.69163408735116,199.9740180260679,198.58646245876184,202.7840322565885,212.0772996633112,226.55951655135297,233.38284390540917,234.18614712800795,217.04863058948945,204.02958914311213
