Date,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2022-01-01,128.43181651033134,127.77450507166833,121.40916126228423,102.65553594883401,101.06107727942018,99.37598048906656,102.57202277197845,108.38422566565666,123.2815741176463,129.54018141926073,141.8854228605889,140.10815449850438,131.43634277434563,133.22084521766374,130.00214320498935,123.30937869147057,127.68173472747358,134.50047099030508,151.4420765003776,178.93443290334602,180.77348741334322,179.30199257230197,174.76459743067593,160.2257545618537
2022-01-02,170.14084354033548,168.57769240014088,148.8637748788858,136.38687898131352,112.50693424674881,105.19024373024791,111.89556532101287,130.46365303243954,138.4894902319382,149.08472325924114,146.28957014256181,146.03879192531977,133.84782659826476,141.62650157635628,147.5777545584641,153.61802094027178,150.9422313761229,178.06988338245685,244.5641586443616,234.3921747676405,267.3534846389235,219.80363641277327,231.3504677377291,201.4022120077106
2022-01-03,174.81850920688615,135.93816847519204,106.60955592877038,102.89502368314871,106.93328485444616,104.52353982171911,112.42340502716435,132.63699132025465,180.79269906847048,181.04187176653255,191.23050109105458,155.63607917936955,171.7604345455608,164.01415241585354,172.47725077705854,149.2328220123969,168.16237126937412,206.2167547393104,220.90037181747556,226.3606702684075,187.71433312873046,178.88600408733927,170.49366976025843,142.73226355398506
2022-01-04,103.85963993829016,106.83123103251876,99.63421690510583,91.02970491655813,84.16666130531479,86.1529060629183,89.01005274625874,103.7040766881963,120.70221726823482,122.24057086466512,127.6898820495753,121.29828090745801,128.97980203787782,124.94911899542234,122.51925464451185,124.57698094422202,110.36092785113932,111.14305232627544,124.06850808739658,140.2208530582234,134.05158923671024,138.98588749338904,119.90724630256753,108.84517068950306
2022-01-05,129.38104952898092,155.83709657641833,134.86318598013386,125.9137507362807,112.44486057974217,111.57311759772088,120.23764305130864,126.67997105418371,148.76054956523464,168.50299404311022,174.55408246399253,162.7962903695834,152.70355921643068,147.59934896581757,145.42699782056792,136.77926583458887,138.3810625023714,160.62648657742056,189.95054511599145,208.78009666276066,211.79350376547058,190.81624954928571,192.663009035249,167.8176278363162
2022-01-06,198.95130991119404,200.3754200553738,182.01153426271557,166.75825579777364,146.4664458368161,136.22426124580068,138.4876980826985,154.6651774136895,178.0984062491729,174.11788462436772,189.36919462158835,183.85762195073346,167.38324129997085,163.61864476758564,165.0678198711584,166.17834767352815,160.96583611820753,167.14476574834796,196.39249812035325,206.59792833875568,212.78473704112105,209.25076150258005,212.0076282404887,197.64610833931053
2022-01-07,201.8949392898593,194.66437281454793,179.90349712899922,163.05552706651022,154.23102532822494,145.55058992288116,155.2250086766863,169.44220924041628,186.07175610687872,187.93158250129756,196.7530093464908,191.35006408451778,186.9898457140148,178.55403592351124,178.61865207493952,175.3229258160713,179.06954265902448,188.5005790228682,228.31021643827705,247.1921452431519,244.35780366343482,230.29776587395088,221.6780395842306,215.10145146063425
2022-01-08,223.00618623708556,210.91120251314078,174.36134492932788,164.98021369627207,153.29740947051425,148.0321784593267,147.65419040545584,149.9648040987089,153.28465541179574,164.9645094744734,164.6914870353958,169.83190009294864,165.61419346798516,154.83856269668294,145.97817962666016,140.24744670929363,132.17197604664364,155.86003672104113,162.55816906070197,197.04012191537623,200.2540135662059,196.07849453164334,197.08430362597286,184.9222613007418
2022-01-09,168.23494914009456,142.3953710979736,118.11367924723223,108.37286581408645,98.1425762266741,86.58185803316661,88.65942882709695,92.2936691484994,111.94873848310553,118.37353268699914,130.89197192753716,129.78848457502465,119.77110842800211,119.89962244817113,117.07275528224282,110.48254570920551,108.49483656455035,119.1490350745563,144.65131822754682,171.68550482425613,183.0732340214699,196.32875378421846,203.72522529828993,198.66987392784793
2022-01-10,186.69257236033985,147.90826019837326,124.66838359748701,105.27455210418847,107.53896376177755,103.65449921605382,92.81182525355902,134.78164507993472,192.4902977686306,220.17916200183691,246.77108348393622,213.87561965344688,214.0527644887631,175.9281492469932,163.00804698222174,156.2813078978155,151.112194753962,167.71583642935065,227.28709630166634,263.0070493684101,267.191820737058,259.34225763883865,241.05376728561424,213.81414382643823
